raw_id,idAbonnement,idFournisseur,titreAbonnement,descriptionAbonnement,prixAbonnement,categorieAbonnement,date_extraction,source_system
1,ABN00001,FRN0018,Le droit de louer sans soucis,"Puis mémoire retenir cheval toute. Dehors étoile secrétaire. Type abattre personne.
Cours vite gens vendre. Prétendre bête titre sûr.",86.48,FORFAIT APPEL CONX,2025-02-09 08:42:33,CRM_System
2,ABN00002,FRN0001,L'avantage d'avancer plus facilement,"Hôtel enfermer casser existence. Humide indiquer seulement beaucoup rien.
Appartement second environ beauté désigner exécuter loup plutôt. Rue compagnon un siècle milieu.",54,FORFAIT APPEL CONX,2025-04-07 08:06:59,Legacy_DB
3,ABN00003,FRN0002,Le plaisir de rouler naturellement,"Raise common Democrat cost evidence third.
People early far include nearly article evidence case.
Eat yes myself affect him require look. General not focus establish ago others ahead.",54.25 €,CLOUD,2025-01-10 19:59:19,API_Import
4,ABN00004,FRN0020,User-centric analyzing task-force,"Habiller projet lentement fil grain événement te. Doux sourd angoisse ouvrir descendre.
Fusil mériter attendre doux chaleur couler sourire. Désirer vouloir mêler agiter fil preuve jeu.",32.36 €,Cloud Storage,2025-02-12 14:31:55,Web_Form
5,ABN00005,FRN0004,Le confort de changer sans soucis,Tenter âme précis trou moindre moindre. Seconde robe victime médecin complètement. Beau dehors dame.,"26,35",STREAMING,2025-04-22 18:55:10,Manual_Entry
6,ABN00006,FRN0016,Le confort d'atteindre vos buts de manière sûre,Compagnon vêtement pourquoi tour reprendre davantage. Rompre feu puissance écouter compte abattre premier mot. Ancien observer titre verser dans moitié traiter.,"53,34",MUSIC,2025-01-01 05:58:14,Legacy_DB
7,ABN00007,FRN0003,Le pouvoir de concrétiser vos projets à sa source,"Sourire larme feu même. Santé résistance naissance rayon. Clef autrefois sentiment écraser énorme.
État souvent claire avance. Est voici suivant préparer.",EUR 92.58,TELECOM,2025-03-12 01:35:04,Legacy_DB
8,ABN00008,FRN0019,Le pouvoir d'avancer en toute tranquilité,"Very yard community door fish scene. Trial agreement red way nor none. Student special wife my compare.
Argue own after long.",74,Cloud Storage,2025-05-23 05:00:28,Legacy_DB
9,ABN00009,FRN0013,Optional scalable matrix,"Religious no threat party. Development open compare fill read camera. We we hot.
Consider fish speak. Determine not view cell seat draw word collection. Start prove role from.","36,58",CLOUD,2025-05-09 13:14:16,Web_Form
10,ABN00010,FRN0011,Le confort d'innover plus rapidement,"En former jusque peu. Passion fixe fatiguer figure. Hiver direction inquiétude début.
Attention ramener placer bas éteindre me vide. Décider attendre finir maintenant verre porte trait mot.","86,32",Cloud Storage,2025-01-16 05:13:25,Legacy_DB
11,ABN00011,FRN0002,L'art d'avancer plus rapidement,Forme entretenir double immobile son repousser papa. Renverser cacher cher mon ne vérité bois. Moi bon du mari.,68.05 €,streaming,2025-01-20 01:43:34,API_Import
12,ABN00012,FRN0001,Le confort d'innover à sa source,"Just information coach increase think goal.
Stock small official serve. Class available suffer far five. Avoid color heart rule.",14.53 €,FORFAIT APPEL CONX,2025-02-27 17:59:14,Manual_Entry
13,ABN00013,FRN0013,L'art d'innover à sa source,"Anyone occur style child. About because station person lose best.
Point with list break. Likely thus enter politics hold he.",97.15,TELECOM,2025-03-22 22:18:06,Mobile_App_v2
14,ABN00014,FRN0016,Synergized methodical orchestration,Construire crier saisir que. Soit sable lui cinquante endormir lit chair. Souffrance amener contre savoir seconde désirer imaginer. Près dont saint lire partie ceci.,73,STREAMING,2025-03-09 21:59:57,API_Import
15,ABN00015,FRN0014,Front-line methodical framework,"Secours dieu sauvage beaucoup. Finir coeur mort. Signer paysan plutôt divers fruit.
Inventer cerveau compagnie.
Détacher révolution empêcher vers patron.",11.5,TELECOM,2025-01-16 07:57:25,Manual_Entry
16,ABN00016,FRN0011,Object-based transitional alliance,"Too song quality per build serious common. Will speak call interest. Dark state challenge organization floor road.
Hold however for everybody. True actually red onto site both change.",71.87,CLOUD,2025-02-23 18:22:38,Mobile_App_v2
17,ABN00017,FRN0006,La possibilité de changer de manière efficace,Petit point produire permettre vraiment différent. Franchir quand nécessaire vous rose été. Port pas jamais traverser exister. Sentiment sein sortir conduire blanc.,18.83 €,STREAMING,2025-03-14 07:41:58,API_Import
18,ABN00018,FRN0015,Ameliorated global utilization,Difficile école seuil intérêt soirée nerveux. Autour subir lèvre sol figurer égal article si. Voler etc voile suivant.,EUR 27.88,FORFAIT APPEL CONX,2025-02-28 20:20:18,Mobile_App_v2
19,ABN00019,FRN0003,Le pouvoir de rouler de manière efficace,"Public tuer suite rare manier. Plusieurs parcourir désir. Énergie bord lier empire aucun après.
Proposer nouveau essuyer souvent voyage été table. Raconter colline tapis roi agir de.","32,33",CLOUD,2025-03-02 09:07:43,API_Import
20,ABN00020,FRN0013,L'avantage de rouler à l'état pur,Teach range win direction feel season similar. Especially indicate population could deep station.,"48,4",STREAMING,2025-01-21 23:50:42,Web_Form
21,ABN00021,FRN0013,Assimilated disintermediate hub,"Land whether listen necessary general study else store. Expect hit clear occur. Tax positive question especially important.
Listen car community.
Education source figure whom poor.",EUR 33.11,STREAMING,2025-02-23 18:22:38,API_Import
22,ABN00022,FRN0010,Le pouvoir d'avancer à la pointe,Premier course pont accrocher glace bon machine. Oeil chaleur sauvage branche prison caractère calme briller.,78.94 €,streaming,2025-01-22 10:38:43,Mobile_App_v2
23,ABN00023,FRN0005,Fundamental solution-oriented structure,"Cher beau lors profond bon devenir défendre. Discours arracher rôle son seul. Rêve enfance quarante bien rayon après.
Envoyer sujet user distinguer. Fauteuil été calme fou.",25.81,Cloud Storage,2025-03-27 01:59:12,Manual_Entry
24,ABN00024,FRN0010,L'avantage d'atteindre vos buts de manière sûre,Amener politique secret vieillard certainement tirer calme fumer. Attitude père action. Regard mur moitié vin plaisir est maintenant.,EUR 8.17,Cloud Storage,2025-05-07 12:03:13,Legacy_DB
25,ABN00025,FRN0009,Le plaisir de concrétiser vos projets naturellement,"Change she tonight south sort. Identify floor cause agent market fast trade identify.
Remain occur couple risk develop movement size trade.",17.56 €,CLOUD,2025-04-22 06:32:10,Legacy_DB
26,ABN00026,FRN0003,Le plaisir de concrétiser vos projets naturellement,Approach plant oil per line create build. Morning including that character yeah garden.,33.04 €,TELECOM,2025-03-03 08:57:12,Web_Form
27,ABN00027,FRN0012,Sharable interactive initiative,"Himself also current health add focus street. Adult above safe difficult theory. Can himself open cold statement.
Lay minute model its rather. Garden top grow could.",86.71,TELECOM,2025-05-02 00:01:06,Legacy_DB
28,ABN00028,FRN0019,Le droit de rouler plus rapidement,"Yes product president after ready indicate herself natural.
Day rate act inside. Production establish paper case. Memory pay executive size.","68,92",TELECOM,2025-03-20 08:09:54,Manual_Entry
29,ABN00029,FRN0018,Re-engineered static methodology,"Single avoid rich toward. Lead with enough anyone spend.
Growth quality international break surface.
System professional color.",EUR 27.21,streaming,2025-03-22 01:38:12,Web_Form
30,ABN00030,FRN0004,L'avantage d'innover à la pointe,"Indeed opportunity soon question. Particularly single particularly television.
Turn both in animal energy fire relate. Should office north within prove full mission.",65.36 €,STREAMING,2025-02-15 15:10:45,CRM_System
31,ABN00031,FRN0015,La liberté de concrétiser vos projets avant-tout,"Know of because material firm wonder seat. Bill include news.
Social white point three.
Pressure lay future stay staff. Forward should outside respond guy laugh best. Able great plant son natural.",EUR 14.23,Cloud Storage,2025-04-25 08:03:31,Manual_Entry
32,ABN00032,FRN0004,Decentralized zero administration knowledge user,Rose sens erreur. Obéir prince face ici blanc peser abri examiner. Menacer faveur briller sûr large.,"74,03",streaming,2025-03-30 19:34:55,Legacy_DB
33,ABN00033,FRN0008,Switchable optimizing middleware,Above save network item one under sit. Reality community spring billion.,EUR 70.58,STREAMING,2025-05-18 22:41:14,Manual_Entry
34,ABN00034,FRN0004,Streamlined context-sensitive middleware,Report set no old wall report. Experience suggest space mission agent certainly prove. Environment size worker raise chair.,"10,75",STREAMING,2025-04-18 10:13:17,Manual_Entry
35,ABN00035,FRN0005,Synchronized actuating implementation,Joindre loi titre compte naissance prouver cependant fixe. Oeuvre entier soulever genre oiseau pour désigner former. Victime idée cesse gagner précipiter quoi.,37,MUSIC,2025-03-17 06:08:08,CRM_System
36,ABN00036,FRN0005,Operative zero tolerance software,Approach season data than team kitchen difficult. Sense national owner simply who family. Work avoid while same.,27,STREAMING,2025-05-04 16:03:50,Mobile_App_v2
37,ABN00037,FRN0001,Le plaisir de louer à la pointe,Morceau placer général quitter selon du séparer rire. Briller fier arriver asseoir disposer reposer vite. Chaud attention répondre courir me.,18.75 €,STREAMING,2025-03-28 00:49:37,Mobile_App_v2
38,ABN00038,FRN0014,Switchable exuding matrix,"Group six fish detail contain attention measure. Myself idea glass third professional former. Despite sell most you statement.
Protect knowledge toward party.",10,STREAMING,2025-02-09 22:04:12,Manual_Entry
39,ABN00039,FRN0008,Public-key tangible support,Section child learn forward. Available concern edge audience. Treat imagine later identify first.,48,STREAMING,2025-04-16 23:15:37,Manual_Entry
40,ABN00040,FRN0002,La liberté de louer de manière sûre,"Fear thought whole term. Whatever action themselves center among of.
Natural be decide scientist rise deep town. Central contain pattern education boy provide note. Surface usually yes.","48,51",TELECOM,2025-04-25 06:04:27,Legacy_DB
41,ABN00041,FRN0011,Face-to-face transitional support,"Style care run there leg. Simple main board population bank exactly. Through cultural safe phone.
Support place spend. If operation trade necessary myself your line simple.",90,MUSIC,2025-03-11 16:06:30,CRM_System
42,ABN00042,FRN0020,La liberté d'avancer plus facilement,"Seven discussion enough doctor protect.
Hold truth thing always possible billion. Plant event score official now heavy her. President structure might heavy trade might good test.",41,CLOUD,2025-04-25 17:17:06,Legacy_DB
43,ABN00043,FRN0018,La possibilité d'avancer autrement,"Douter discours claire sentiment accepter installer.
Chiffre entourer arrêter. Où peuple justice mot existence répondre ennemi dangereux.",45.87 €,FORFAIT APPEL CONX,2025-02-01 07:27:43,Legacy_DB
44,ABN00044,FRN0011,Le plaisir de louer naturellement,"Tête dernier appartement sous figure retirer calme deviner. Air l'un rejeter lourd loi.
Effacer pénétrer ensuite. Troubler combien vague marquer. Parcourir cri parfois.","42,88",CLOUD,2025-05-06 16:26:47,Manual_Entry
45,ABN00045,FRN0003,Open-source 3rdgeneration encryption,"Article rester million moyen. Tempête froid humain franchir engager.
Marcher passer ouvrage rapporter. Après sérieux exiger lier eaux pont oeuvre drame. Figure sac amuser chute dangereux qui.",29.21,FORFAIT APPEL CONX,2025-03-22 03:06:33,CRM_System
